Date,0,1,2,3,4,5,6
01-01-2012,0.5,0.4818181818181818,0.3733333333333333,0.9777777777777779,0.7541666666666668,0.35000000000000003,0.22000000000000003
02-01-2012,3.6,0.7363636363636363,0.15333333333333332,0.5444444444444445,0.37083333333333335,0.775,0.8099999999999999
03-01-2012,0.2,0.045454545454545456,0.04666666666666666,1.2444444444444445,2.5791666666666666,0.10000000000000002,0.8099999999999999
04-01-2012,9.6,0.5545454545454546,0.7200000000000001,2.033333333333333,6.804166666666667,0.7000000000000001,2.2600000000000002
05-01-2012,11.85,4.081818181818182,3.96,9.866666666666667,17.691666666666666,7.625,4.46
06-01-2012,7.45,1.2636363636363637,1.0,1.411111111111111,2.766666666666666,0.8833333333333333,2.33
07-01-2012,8.225,3.7181818181818183,3.5133333333333336,3.5999999999999996,2.875,3.6166666666666667,3.44
08-01-2012,8.375,1.8272727272727274,2.76,3.7777777777777777,2.8541666666666665,3.0833333333333335,3.4
09-01-2012,10.075,5.0181818181818185,3.5266666666666664,4.199999999999999,4.2,6.508333333333333,5.39
10-01-2012,9.625,0.7000000000000001,0.9066666666666666,1.2555555555555555,1.1791666666666667,1.5416666666666667,2.62
11-01-2012,1.9,0.45454545454545453,0.56,0.8222222222222222,1.2625,1.2666666666666666,0.86
12-01-2012,1.65,1.5818181818181818,0.8266666666666667,1.9333333333333331,1.625,2.2416666666666667,1.2
13-01-2012,6.25,1.5454545454545454,2.1933333333333334,2.177777777777778,3.0416666666666665,1.575,3.12
14-01-2012,5.8,0.10909090909090909,0.8933333333333333,0.48888888888888893,1.1875,0.3333333333333333,1.4
15-01-2012,8.05,0.0,0.7266666666666667,0.34444444444444444,1.2249999999999999,0.08333333333333333,2.54
16-01-2012,6.4,4.2727272727272725,4.566666666666666,3.3444444444444446,4.4750000000000005,5.383333333333333,4.91
17-01-2012,4.0,3.563636363636364,7.866666666666666,2.7,6.133333333333333,2.975,4.46
18-01-2012,2.5,1.9,1.4066666666666667,1.7000000000000002,1.1958333333333333,1.925,0.78
19-01-2012,6.325,2.8454545454545457,1.8933333333333333,3.244444444444445,2.095833333333333,2.6833333333333336,3.6
20-01-2012,6.0,2.0,2.1133333333333333,3.022222222222222,3.7416666666666667,3.658333333333333,2.87
21-01-2012,12.025,3.472727272727273,1.9666666666666666,4.51111111111111,4.7,5.641666666666667,4.5200000000000005
22-01-2012,9.1,1.6272727272727272,1.7666666666666666,4.655555555555555,7.016666666666667,4.208333333333333,2.83
23-01-2012,1.725,1.4909090909090907,2.2199999999999998,0.8555555555555556,2.3666666666666667,5.0,2.52
24-01-2012,2.0749999999999997,0.018181818181818184,1.9533333333333334,0.47777777777777775,1.4208333333333334,0.6416666666666667,1.19
25-01-2012,0.4,0.045454545454545456,0.24666666666666665,0.06666666666666668,0.39999999999999997,0.5583333333333333,0.7100000000000001
26-01-2012,0.6,0.0,0.14,0.011111111111111112,0.041666666666666664,0.0,0.0
27-01-2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28-01-2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29-01-2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30-01-2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31-01-2012,0.0,0.0,0.0,0.0,0.008333333333333333,0.0,0.0
01-02-2012,0.0,0.0,0.0,0.0,0.004166666666666667,0.05000000000000001,0.0
02-02-2012,0.0,0.0,0.0,0.0,0.004166666666666667,0.008333333333333333,0.0
03-02-2012,0.0,0.0,0.0,0.0,0.012499999999999999,0.008333333333333333,0.0
04-02-2012,0.325,0.19999999999999998,0.0,0.011111111111111112,0.15833333333333335,0.725,0.05
05-02-2012,0.17500000000000002,0.0,0.020000000000000004,0.0,0.0,0.08333333333333333,0.09
06-02-2012,0.325,0.13636363636363635,1.06,0.25555555555555554,0.7458333333333332,0.16666666666666666,0.45
07-02-2012,0.125,0.0,0.3266666666666667,0.06666666666666668,0.7333333333333334,0.36666666666666664,0.09
08-02-2012,0.0,0.009090909090909092,0.013333333333333334,0.022222222222222223,0.10416666666666667,0.06666666666666667,0.030000000000000006
09-02-2012,2.35,0.9,1.3666666666666667,0.2888888888888889,1.7166666666666668,2.6833333333333336,1.3699999999999999
10-02-2012,0.0,0.0,0.0,0.0,0.025000000000000005,0.041666666666666664,0.0
11-02-2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12-02-2012,0.0,0.11818181818181818,0.03333333333333333,0.1111111111111111,0.012500000000000002,0.5499999999999999,0.02
13-02-2012,0.05,0.21818181818181817,0.2733333333333334,0.37777777777777777,0.25833333333333336,0.5416666666666666,0.2
14-02-2012,2.15,2.8636363636363638,1.0733333333333335,4.7444444444444445,3.5500000000000003,2.983333333333333,1.31
15-02-2012,19.65,4.490909090909091,6.2266666666666675,4.133333333333334,11.6625,5.791666666666667,9.51
16-02-2012,4.75,4.663636363636363,3.5,1.6333333333333333,3.358333333333333,4.433333333333334,2.23
17-02-2012,13.525,1.4363636363636365,2.566666666666667,2.511111111111111,2.7624999999999997,1.55,4.03
18-02-2012,0.05,1.2545454545454546,0.35333333333333333,1.4333333333333333,1.2416666666666667,0.8583333333333334,0.01
19-02-2012,4.425,3.190909090909091,1.1933333333333331,4.022222222222222,2.3249999999999997,1.5833333333333333,1.78
20-02-2012,0.225,0.009090909090909092,0.04666666666666666,0.08888888888888889,0.008333333333333333,0.05833333333333333,0.0
21-02-2012,0.07500000000000001,0.6181818181818182,0.2,0.8666666666666667,0.09583333333333333,0.6583333333333333,0.32999999999999996
